1e-05
iteration,validation ndcg
454,0.349340
455,0.349398
456,0.349489
457,0.349712
458,0.349748
459,0.349659
460,0.349592
461,0.349766
462,0.349703
463,0.349339
464,0.349749
465,0.349944
466,0.349977
467,0.349982
468,0.350011
469,0.350169
470,0.350260
471,0.350273
472,0.350269
473,0.350130
474,0.350068
475,0.350263
476,0.350266
477,0.350272
478,0.350377
479,0.350490
480,0.350432
481,0.350329
482,0.351071
483,0.350849
484,0.350818
485,0.350984
486,0.350946
487,0.350891
488,0.350890
489,0.350880
490,0.350737
491,0.350781
492,0.351043
493,0.350873
494,0.350786
495,0.350968
496,0.351130
497,0.351249
498,0.351342
499,0.351081
