0.0001
iteration,validation ndcg
0,0.316830
1,0.321071
2,0.323005
3,0.326102
4,0.329159
5,0.332928
6,0.336331
7,0.337844
8,0.338335
9,0.338749
10,0.340389
11,0.340696
12,0.342339
13,0.342209
14,0.343039
15,0.341764
16,0.341340
17,0.340826
18,0.341441
19,0.341462
20,0.342263
21,0.342242
22,0.342382
23,0.342939
24,0.342244
25,0.342700
26,0.343301
27,0.343539
28,0.343636
29,0.344249
30,0.344939
31,0.344832
32,0.343902
33,0.344336
34,0.344363
35,0.344688
36,0.344169
37,0.345569
38,0.347297
39,0.347421
40,0.348206
41,0.348955
42,0.348222
43,0.348678
44,0.348982
45,0.349827
46,0.350144
47,0.351465
48,0.351009
49,0.351884
50,0.351495
51,0.351761
52,0.351478
53,0.351733
54,0.352659
55,0.352835
56,0.352486
57,0.353305
58,0.353717
59,0.352750
60,0.353486
61,0.353694
62,0.354048
63,0.353762
64,0.353759
65,0.354054
66,0.353979
67,0.355079
68,0.355075
69,0.355023
70,0.355436
71,0.355605
72,0.354343
73,0.354350
74,0.355548
75,0.356032
76,0.355869
77,0.356442
78,0.356598
79,0.356380
80,0.356460
81,0.356354
82,0.356937
83,0.356664
84,0.357464
85,0.356582
86,0.357243
87,0.357062
88,0.356609
89,0.357278
90,0.356966
91,0.356957
92,0.357744
93,0.357369
94,0.356716
95,0.356980
96,0.356886
97,0.357179
98,0.357252
99,0.356419
100,0.356882
101,0.357026
102,0.357022
103,0.356173
104,0.357178
105,0.355525
106,0.356502
107,0.356396
108,0.356174
109,0.355594
110,0.355157
111,0.355501
112,0.355801
113,0.356027
114,0.357250
115,0.357111
116,0.356173
117,0.355776
118,0.356252
119,0.356779
120,0.357609
121,0.356605
122,0.357439
123,0.357405
124,0.356808
125,0.358008
126,0.356688
127,0.357410
128,0.356979
129,0.357564
130,0.357367
131,0.357479
132,0.357602
133,0.357351
134,0.357598
135,0.357568
136,0.356989
137,0.356872
138,0.356536
139,0.356051
140,0.355694
141,0.356551
142,0.356263
143,0.356531
144,0.355761
145,0.357994
146,0.357492
147,0.357018
148,0.357527
149,0.357087
150,0.357470
151,0.356508
152,0.356262
153,0.357211
154,0.356675
155,0.355933
156,0.356811
157,0.357495
158,0.355710
159,0.356242
160,0.356968
161,0.355517
162,0.357535
163,0.357177
164,0.356445
165,0.356386
166,0.356435
167,0.356015
168,0.356103
169,0.356412
170,0.357514
171,0.356916
172,0.357381
173,0.357653
174,0.357901
175,0.357166
176,0.357272
177,0.357323
178,0.357229
179,0.358197
180,0.357583
181,0.357039
182,0.356593
183,0.357586
184,0.356852
185,0.357954
186,0.358015
187,0.357533
188,0.357081
189,0.357531
190,0.357604
191,0.358140
192,0.358194
193,0.357930
194,0.358625
195,0.358370
196,0.356876
197,0.357170
198,0.356634
199,0.357216
200,0.357234
201,0.357364
202,0.357649
203,0.357460
204,0.357460
205,0.357294
206,0.356860
207,0.357261
208,0.357444
209,0.357316
210,0.357072
211,0.357485
212,0.357632
213,0.356780
214,0.357386
215,0.357287
216,0.357195
217,0.357219
218,0.357499
219,0.357534
220,0.359240
221,0.358835
222,0.359048
223,0.358922
224,0.359757
225,0.358135
226,0.358850
227,0.358512
228,0.359560
229,0.360265
230,0.359610
231,0.359830
232,0.359431
233,0.360012
234,0.360447
235,0.360087
236,0.360655
237,0.360820
238,0.358824
239,0.358613
240,0.358640
241,0.358860
242,0.358370
243,0.359912
244,0.358373
245,0.358758
246,0.358842
247,0.359106
248,0.359057
249,0.359448
250,0.359170
251,0.360253
252,0.361033
253,0.360129
254,0.359960
255,0.360005
256,0.359693
257,0.359697
258,0.359105
259,0.359354
260,0.359168
261,0.359758
262,0.359533
263,0.360340
264,0.361522
265,0.361495
266,0.361034
267,0.360600
268,0.361229
269,0.360395
270,0.360518
271,0.359948
272,0.359942
273,0.361102
274,0.361474
275,0.361311
276,0.361627
277,0.361469
278,0.361457
279,0.361314
280,0.362213
281,0.361548
282,0.362065
283,0.360902
284,0.361732
285,0.361374
286,0.361160
287,0.361560
288,0.360775
289,0.360992
290,0.361150
291,0.361986
292,0.361869
293,0.360907
294,0.360858
295,0.361142
296,0.361308
297,0.361253
298,0.361754
299,0.361955
300,0.361694
301,0.360994
302,0.361223
303,0.360112
304,0.359649
305,0.358921
306,0.361356
307,0.361327
308,0.360851
309,0.359950
310,0.361303
311,0.360721
312,0.361596
313,0.362317
314,0.361682
315,0.362480
316,0.362006
317,0.361840
318,0.361474
319,0.360794
320,0.362278
321,0.361011
322,0.361617
323,0.362797
324,0.362611
325,0.363159
326,0.362645
327,0.363021
328,0.362498
329,0.362960
330,0.362904
331,0.362783
332,0.362689
333,0.362193
334,0.362977
335,0.362146
336,0.361952
337,0.362116
338,0.361642
339,0.362782
340,0.362730
341,0.362868
342,0.362531
343,0.361948
344,0.362104
345,0.362365
346,0.362989
347,0.362580
348,0.363181
349,0.363688
350,0.364457
351,0.363247
352,0.364324
353,0.364138
354,0.363992
355,0.362703
356,0.362545
357,0.363803
358,0.363513
359,0.363071
360,0.363230
361,0.363596
362,0.362211
363,0.362969
364,0.363344
365,0.362980
366,0.363810
367,0.363896
368,0.363753
369,0.363803
370,0.363884
371,0.363197
372,0.363302
373,0.362948
374,0.361828
375,0.362091
376,0.361822
377,0.361998
378,0.362909
379,0.362181
380,0.363809
381,0.363302
382,0.363011
383,0.363537
384,0.363517
385,0.362130
386,0.362712
387,0.364038
388,0.362348
389,0.363711
390,0.362418
391,0.362891
392,0.363473
393,0.365620
394,0.365049
395,0.364258
396,0.364331
397,0.364569
398,0.363577
399,0.363468
400,0.363160
401,0.365361
402,0.364690
403,0.364347
404,0.365595
405,0.363870
406,0.364767
407,0.365145
408,0.364935
409,0.365138
410,0.364502
411,0.365454
412,0.364992
413,0.364859
414,0.364640
415,0.363067
416,0.362652
417,0.364465
418,0.364170
419,0.362438
420,0.363602
421,0.363685
422,0.364776
423,0.364530
424,0.364915
425,0.364184
426,0.363737
427,0.363544
428,0.365392
429,0.363726
430,0.365417
431,0.365297
432,0.365030
433,0.365359
434,0.365812
435,0.365146
436,0.365791
437,0.365763
438,0.366137
439,0.365804
440,0.365806
441,0.365742
442,0.366024
443,0.365726
444,0.365955
445,0.365898
446,0.366578
447,0.366376
448,0.365437
449,0.365332
450,0.364162
451,0.366227
452,0.365757
453,0.364705
454,0.364305
455,0.364100
456,0.364068
457,0.365142
458,0.366012
459,0.365959
460,0.365604
461,0.366621
462,0.362618
463,0.364050
464,0.363996
465,0.364619
466,0.365846
467,0.364351
468,0.364957
469,0.364397
470,0.365440
471,0.364343
472,0.364031
473,0.363924
474,0.364335
475,0.364540
476,0.364503
477,0.364917
478,0.364464
479,0.365380
480,0.364157
481,0.364502
482,0.364351
483,0.365960
484,0.365865
485,0.365160
486,0.365075
487,0.365303
488,0.364675
489,0.365800
490,0.366381
491,0.366773
492,0.364924
493,0.364370
494,0.365144
495,0.364880
496,0.364580
497,0.364745
498,0.364560
499,0.365275
