0.0001
iteration,validation ndcg
0,0.320036
1,0.324322
2,0.332021
3,0.336701
4,0.341722
5,0.340809
6,0.342493
7,0.342898
8,0.341972
9,0.341400
10,0.341764
11,0.340262
12,0.343196
13,0.344180
14,0.344683
15,0.341229
16,0.342644
17,0.344128
18,0.343317
19,0.342217
20,0.343576
21,0.344837
22,0.342751
23,0.342160
24,0.341035
25,0.342859
26,0.343147
27,0.341712
28,0.340930
29,0.340526
30,0.341029
31,0.342079
32,0.339892
33,0.340888
34,0.342315
35,0.343351
36,0.341271
37,0.341678
38,0.343295
39,0.344728
40,0.347539
41,0.346731
42,0.344703
43,0.344409
44,0.345630
45,0.341707
46,0.343717
47,0.345354
48,0.343739
49,0.345814
50,0.341217
51,0.343341
52,0.340638
53,0.343833
54,0.345709
55,0.347062
56,0.343809
57,0.346383
58,0.344703
59,0.341214
60,0.345738
61,0.342805
62,0.344979
63,0.341286
64,0.344700
65,0.345514
66,0.345723
67,0.346129
68,0.344914
69,0.344622
70,0.344584
71,0.343877
72,0.343886
73,0.344627
74,0.348595
75,0.348182
76,0.346974
77,0.347614
78,0.347680
79,0.347749
80,0.349162
81,0.350096
82,0.347780
83,0.348258
84,0.345495
85,0.344855
86,0.347665
87,0.345913
88,0.347844
89,0.349470
90,0.348720
91,0.346390
92,0.344965
93,0.339629
94,0.339525
95,0.348500
96,0.346666
97,0.346099
98,0.343039
99,0.340365
100,0.341209
101,0.345213
102,0.345447
103,0.342958
104,0.347842
105,0.342265
106,0.343550
107,0.344447
108,0.343641
109,0.340254
110,0.339710
111,0.338243
112,0.340081
113,0.343411
114,0.347812
115,0.348697
116,0.343400
117,0.339821
118,0.342695
119,0.341244
120,0.343796
121,0.344641
122,0.342440
123,0.342565
124,0.346825
125,0.343784
126,0.346047
127,0.341177
128,0.343600
129,0.345510
130,0.345679
131,0.345922
132,0.346750
133,0.345660
134,0.346358
135,0.347230
136,0.343999
137,0.345835
138,0.345724
139,0.347975
140,0.342159
141,0.343702
142,0.343694
143,0.345081
144,0.341063
145,0.348906
146,0.346595
147,0.347236
148,0.345913
149,0.345257
150,0.346072
151,0.346192
152,0.345892
153,0.349338
154,0.342391
155,0.345450
156,0.346038
157,0.346785
158,0.341336
159,0.344008
160,0.346464
161,0.344554
162,0.345553
163,0.345240
164,0.342151
165,0.344281
166,0.341594
167,0.340986
168,0.344784
169,0.341808
170,0.345533
171,0.344976
172,0.345915
173,0.343668
174,0.345653
175,0.344725
176,0.344885
177,0.344920
178,0.345630
179,0.347655
180,0.347077
181,0.343267
182,0.345945
183,0.346671
184,0.346308
185,0.349073
186,0.346398
187,0.345741
188,0.345797
189,0.346996
190,0.346468
191,0.349502
192,0.348378
193,0.346243
194,0.351460
195,0.352484
196,0.347437
197,0.348091
198,0.346433
199,0.347831
200,0.345597
201,0.347252
202,0.350147
203,0.346943
204,0.349387
205,0.347734
206,0.344625
207,0.346517
208,0.345346
209,0.346160
210,0.343698
211,0.346271
212,0.349219
213,0.347819
214,0.349305
215,0.344699
216,0.345794
217,0.348863
218,0.346228
219,0.346342
220,0.345018
221,0.349466
222,0.348394
223,0.349600
224,0.349064
225,0.350296
226,0.350681
227,0.350471
228,0.353183
229,0.353590
230,0.350833
231,0.353316
232,0.350060
233,0.349305
234,0.348855
235,0.345987
236,0.348550
237,0.346410
238,0.341838
239,0.347801
240,0.346807
241,0.347686
242,0.342892
243,0.350310
244,0.346794
245,0.347203
246,0.345973
247,0.347060
248,0.346328
249,0.347106
250,0.345514
251,0.347854
252,0.346590
253,0.346851
254,0.346239
255,0.349341
256,0.347134
257,0.348725
258,0.348448
259,0.346262
260,0.346644
261,0.350258
262,0.349724
263,0.349801
264,0.351245
265,0.351801
266,0.353824
267,0.349027
268,0.348578
269,0.347640
270,0.347165
271,0.348681
272,0.347737
273,0.349500
274,0.349314
275,0.349295
276,0.349623
277,0.351621
278,0.349811
279,0.349892
280,0.352888
281,0.351618
282,0.350160
283,0.349848
284,0.351014
285,0.349089
286,0.349266
287,0.349525
288,0.350134
289,0.351125
290,0.352390
291,0.354311
292,0.353205
293,0.351743
294,0.350215
295,0.350175
296,0.350711
297,0.350533
298,0.350093
299,0.351901
300,0.350062
301,0.352626
302,0.350469
303,0.348538
304,0.346442
305,0.346073
306,0.349124
307,0.349784
308,0.348413
309,0.348498
310,0.349929
311,0.349040
312,0.350806
313,0.351795
314,0.350474
315,0.349546
316,0.349476
317,0.349545
318,0.350727
319,0.347341
320,0.348878
321,0.347398
322,0.348060
323,0.348523
324,0.351720
325,0.350506
326,0.349501
327,0.348385
328,0.348517
329,0.351082
330,0.350191
331,0.348330
332,0.350276
333,0.348458
334,0.351779
335,0.348218
336,0.350117
337,0.349143
338,0.348386
339,0.350225
340,0.349031
341,0.349634
342,0.348446
343,0.347905
344,0.347167
345,0.347891
346,0.348505
347,0.347209
348,0.347313
349,0.348176
350,0.348488
351,0.350807
352,0.351069
353,0.353277
354,0.352575
355,0.349944
356,0.349142
357,0.349333
358,0.352903
359,0.350858
360,0.349737
361,0.349909
362,0.349231
363,0.350549
364,0.350486
365,0.348471
366,0.351882
367,0.349783
368,0.350241
369,0.350717
370,0.350041
371,0.349974
372,0.349787
373,0.350378
374,0.347510
375,0.347300
376,0.347115
377,0.347248
378,0.348655
379,0.348896
380,0.350972
381,0.351305
382,0.350766
383,0.349861
384,0.349942
385,0.349401
386,0.348419
387,0.352075
388,0.349070
389,0.351021
390,0.350104
391,0.350711
392,0.351314
393,0.353418
394,0.352632
395,0.351266
396,0.351538
397,0.351437
398,0.350275
399,0.349511
400,0.348788
401,0.350103
402,0.350778
403,0.351538
404,0.351359
405,0.350629
406,0.350584
407,0.351662
408,0.352386
409,0.352033
410,0.350958
411,0.353134
412,0.350834
413,0.350461
414,0.351157
415,0.349483
416,0.349459
417,0.350460
418,0.350503
419,0.349861
420,0.350423
421,0.350485
422,0.351692
423,0.350620
424,0.351613
425,0.350672
426,0.351850
427,0.350957
428,0.352700
429,0.350882
430,0.352048
431,0.354138
432,0.351233
433,0.351491
434,0.352346
435,0.351921
436,0.351889
437,0.355448
438,0.354253
439,0.351579
440,0.352987
441,0.353995
442,0.354404
443,0.351126
444,0.351252
445,0.351870
446,0.352249
447,0.354504
448,0.352424
449,0.351673
450,0.350432
451,0.353858
452,0.352743
453,0.352015
454,0.352251
455,0.351526
456,0.351839
457,0.351106
458,0.353136
459,0.353364
460,0.351584
461,0.353262
462,0.346627
463,0.349022
464,0.349695
465,0.350751
466,0.351449
467,0.350916
468,0.352234
469,0.350745
470,0.353131
471,0.350824
472,0.351528
473,0.349870
474,0.351519
475,0.352428
476,0.352615
477,0.351536
478,0.351046
479,0.351310
480,0.349988
481,0.349685
482,0.350243
483,0.354863
484,0.352350
485,0.349583
486,0.350451
487,0.351536
488,0.348156
489,0.352102
490,0.355661
491,0.353780
492,0.349730
493,0.348782
494,0.349612
495,0.350021
496,0.348737
497,0.349951
498,0.349826
499,0.351632
