0.001
iteration,validation ndcg
0,0.340017
1,0.342321
2,0.344834
3,0.344205
4,0.352172
5,0.354818
6,0.356189
7,0.355732
8,0.354315
9,0.356125
10,0.356811
11,0.355743
12,0.356959
13,0.355830
14,0.357429
15,0.355372
16,0.358569
17,0.358649
18,0.357143
19,0.358118
20,0.360026
21,0.358516
22,0.355691
23,0.359881
24,0.360565
25,0.358006
26,0.356001
27,0.358796
28,0.361610
29,0.360168
30,0.363524
31,0.362049
32,0.357710
33,0.362579
34,0.362814
35,0.364291
36,0.364345
37,0.362629
38,0.365742
39,0.367286
40,0.366060
41,0.364432
42,0.361704
43,0.362310
44,0.367561
45,0.363717
46,0.363740
47,0.366875
48,0.363037
49,0.366010
50,0.361787
51,0.366395
52,0.364414
53,0.363010
54,0.367846
55,0.367500
56,0.366415
57,0.365770
58,0.367424
59,0.363848
60,0.368272
61,0.368113
62,0.367365
63,0.365731
64,0.366478
65,0.365678
66,0.365829
67,0.367776
68,0.366608
69,0.367477
70,0.361691
71,0.366997
72,0.365343
73,0.369495
74,0.369834
75,0.371447
76,0.368948
77,0.366064
78,0.368520
79,0.369856
80,0.372541
81,0.371733
82,0.368908
83,0.366007
84,0.368890
85,0.369758
86,0.371415
87,0.372120
88,0.372142
89,0.371459
90,0.373409
91,0.368091
92,0.369956
93,0.366386
94,0.370321
95,0.372533
96,0.373826
97,0.370889
98,0.370363
99,0.371489
100,0.373067
101,0.372219
102,0.373405
103,0.372716
104,0.372105
105,0.371517
106,0.373879
107,0.372529
108,0.373228
109,0.372192
110,0.371858
111,0.371151
112,0.375796
113,0.375412
114,0.374490
115,0.374068
116,0.372344
117,0.373473
118,0.374528
119,0.373213
120,0.374477
121,0.377384
122,0.376110
123,0.376223
124,0.376765
125,0.375210
126,0.376251
127,0.372764
128,0.374498
129,0.376183
130,0.376096
131,0.376250
132,0.379243
133,0.376312
134,0.373743
135,0.375208
136,0.375165
137,0.376252
138,0.375165
139,0.381181
140,0.375933
141,0.374859
142,0.376478
143,0.376391
144,0.378376
145,0.379927
146,0.375826
147,0.376744
148,0.378561
149,0.377826
150,0.379457
151,0.377239
152,0.378631
153,0.379891
154,0.378232
155,0.379181
156,0.380279
157,0.379181
158,0.377000
159,0.379822
160,0.380114
161,0.379973
162,0.379585
163,0.379516
164,0.377988
165,0.376973
166,0.379128
167,0.378393
168,0.380376
169,0.376829
170,0.377780
171,0.379488
172,0.378650
173,0.381881
174,0.378386
175,0.379852
176,0.378640
177,0.378041
178,0.379188
179,0.380900
180,0.377093
181,0.377669
182,0.379290
183,0.381131
184,0.379437
185,0.381790
186,0.376732
187,0.378993
188,0.379650
189,0.377268
190,0.378105
191,0.382140
192,0.379128
193,0.377862
194,0.380691
195,0.377839
196,0.376050
197,0.377520
198,0.380587
199,0.382179
200,0.378884
201,0.379926
202,0.381765
203,0.378793
204,0.378640
205,0.378252
206,0.379734
207,0.379393
208,0.376105
209,0.379610
210,0.379353
211,0.380046
212,0.381937
213,0.378124
214,0.379111
215,0.377553
216,0.379924
217,0.382753
218,0.379140
219,0.379601
220,0.380532
221,0.380121
222,0.379513
223,0.379727
224,0.378204
225,0.377120
226,0.381566
227,0.380836
228,0.383608
229,0.382826
230,0.380575
231,0.379803
232,0.381557
233,0.383652
234,0.383818
235,0.378859
236,0.380123
237,0.379296
238,0.376764
239,0.377891
240,0.383102
241,0.381506
242,0.378614
243,0.384461
244,0.381399
245,0.381465
246,0.377834
247,0.381959
248,0.380288
249,0.377357
250,0.382351
251,0.385155
252,0.383701
253,0.382949
254,0.380591
255,0.379797
256,0.379594
257,0.381208
258,0.382504
259,0.378916
260,0.378810
261,0.383470
262,0.380469
263,0.379813
264,0.384457
265,0.383539
266,0.383533
267,0.385473
268,0.383883
269,0.379881
270,0.382029
271,0.381798
272,0.380098
273,0.382576
274,0.380858
275,0.383756
276,0.379556
277,0.383923
278,0.384571
279,0.384313
280,0.384704
281,0.383280
282,0.384606
283,0.382866
284,0.383002
285,0.379574
286,0.382448
287,0.383487
288,0.383138
289,0.384709
290,0.385839
291,0.387172
292,0.384726
293,0.382311
294,0.382588
295,0.381399
296,0.383557
297,0.382903
298,0.384233
299,0.386104
300,0.378996
301,0.385930
302,0.382482
303,0.380394
304,0.377529
305,0.378292
306,0.379982
307,0.381766
308,0.379986
309,0.385632
310,0.384024
311,0.380367
312,0.385275
313,0.384651
314,0.384099
315,0.383133
316,0.381185
317,0.385074
318,0.383790
319,0.382318
320,0.383137
321,0.382927
322,0.381928
323,0.384187
324,0.383106
325,0.384165
326,0.382769
327,0.386341
328,0.382739
329,0.384131
330,0.382613
331,0.383510
332,0.385541
333,0.384078
334,0.385123
335,0.382311
336,0.381927
337,0.386175
338,0.384324
339,0.383385
340,0.384241
341,0.383331
342,0.383611
343,0.382829
344,0.382292
345,0.383316
346,0.381628
347,0.379445
348,0.383650
349,0.383849
350,0.383430
351,0.385071
352,0.385447
353,0.385929
354,0.385915
355,0.380765
356,0.382077
357,0.383018
358,0.384837
359,0.383947
360,0.384806
361,0.384467
362,0.384564
363,0.384798
364,0.385482
365,0.379156
366,0.383702
367,0.384433
368,0.386369
369,0.385355
370,0.383458
371,0.380133
372,0.383663
373,0.382573
374,0.377699
375,0.383213
376,0.382320
377,0.385583
378,0.386559
379,0.385114
380,0.383456
381,0.382185
382,0.385024
383,0.384211
384,0.385739
385,0.381160
386,0.382210
387,0.386001
388,0.383527
389,0.387228
390,0.386993
391,0.386986
392,0.385866
393,0.387825
394,0.385809
395,0.383810
396,0.386307
397,0.383747
398,0.383626
399,0.382516
400,0.384247
401,0.385461
402,0.384360
403,0.386267
404,0.383983
405,0.382959
406,0.384836
407,0.385640
408,0.387480
409,0.382439
410,0.380982
411,0.387180
412,0.382371
413,0.381392
414,0.384908
415,0.381800
416,0.380037
417,0.381180
418,0.385104
419,0.384747
420,0.383322
421,0.383987
422,0.387080
423,0.381063
424,0.386505
425,0.381492
426,0.384638
427,0.384617
428,0.384108
429,0.385164
430,0.386056
431,0.387465
432,0.383386
433,0.384335
434,0.385093
435,0.384301
436,0.384406
437,0.384649
438,0.381399
439,0.382255
440,0.385849
441,0.385669
442,0.386686
443,0.382350
444,0.382063
445,0.386393
446,0.387117
447,0.386075
448,0.384054
449,0.384893
450,0.381094
451,0.387656
452,0.384774
453,0.382860
454,0.385789
455,0.382165
456,0.385494
457,0.386561
458,0.388565
459,0.386543
460,0.383993
461,0.385763
462,0.378518
463,0.386588
464,0.384956
465,0.381378
466,0.386097
467,0.381618
468,0.382953
469,0.384447
470,0.385831
471,0.384815
472,0.384631
473,0.384368
474,0.383298
475,0.383104
476,0.386291
477,0.382724
478,0.386830
479,0.381642
480,0.384702
481,0.383471
482,0.387903
483,0.388914
484,0.385343
485,0.385991
486,0.386396
487,0.387831
488,0.381372
489,0.383951
490,0.387017
491,0.382560
492,0.380280
493,0.379146
494,0.380058
495,0.387394
496,0.377594
497,0.382804
498,0.381687
499,0.383682
