0.01
iteration,validation ndcg
0,0.346814
1,0.364005
2,0.364542
3,0.341776
4,0.353185
5,0.333868
6,0.364596
7,0.347877
8,0.357806
9,0.331558
10,0.375564
11,0.352366
12,0.342021
13,0.374617
14,0.369456
15,0.369829
16,0.342307
17,0.362571
18,0.374298
19,0.355310
20,0.359301
21,0.347489
22,0.375093
23,0.371554
24,0.382240
25,0.345190
26,0.363567
27,0.368389
28,0.359077
29,0.374289
30,0.356712
31,0.375005
32,0.376104
33,0.346054
34,0.363414
35,0.387512
36,0.340506
37,0.374026
38,0.387467
39,0.372808
40,0.372963
41,0.353628
42,0.358234
43,0.370841
44,0.378255
45,0.384505
46,0.360209
47,0.365220
48,0.348906
49,0.355722
50,0.358857
51,0.373352
52,0.349479
53,0.318020
54,0.388936
55,0.373115
56,0.381895
57,0.352039
58,0.358433
59,0.363170
60,0.388435
61,0.369047
62,0.378238
63,0.391450
64,0.371568
65,0.370461
66,0.340943
67,0.381233
68,0.379049
69,0.338926
70,0.366329
71,0.378003
72,0.373828
73,0.356502
74,0.369719
75,0.380888
76,0.379135
77,0.389445
78,0.377310
79,0.364217
80,0.377556
81,0.371793
82,0.388618
83,0.355393
84,0.375911
85,0.385018
86,0.376700
87,0.393243
88,0.384434
89,0.356891
90,0.333159
91,0.328588
92,0.364462
93,0.370557
94,0.357346
95,0.379593
96,0.377258
97,0.376012
98,0.370483
99,0.352244
100,0.389345
101,0.384391
102,0.377073
103,0.298325
104,0.365762
105,0.381227
106,0.362722
107,0.376620
108,0.385771
109,0.375354
110,0.353571
111,0.359024
112,0.381760
113,0.386185
114,0.363609
115,0.333920
116,0.331048
117,0.361388
118,0.381205
119,0.382794
120,0.350743
121,0.348607
122,0.384252
123,0.355924
124,0.369283
125,0.329507
126,0.356314
127,0.338060
128,0.364191
129,0.387351
130,0.374898
131,0.367978
132,0.379045
133,0.397446
134,0.353692
135,0.381737
136,0.358535
137,0.355748
138,0.385245
139,0.390212
140,0.391124
141,0.365256
142,0.380673
143,0.361179
144,0.401931
145,0.388652
146,0.367074
147,0.355403
148,0.378784
149,0.384927
150,0.360390
151,0.357247
152,0.392586
153,0.371193
154,0.395470
155,0.358443
156,0.386668
157,0.391131
158,0.371868
159,0.392938
160,0.390259
161,0.376867
162,0.367114
163,0.358088
164,0.371184
165,0.390989
166,0.368209
167,0.379680
168,0.380030
169,0.381521
170,0.384819
171,0.388535
172,0.386176
173,0.343685
174,0.340325
175,0.390754
176,0.384376
177,0.384332
178,0.375254
179,0.360953
180,0.365333
181,0.392014
182,0.252968
183,0.386405
184,0.375643
185,0.351165
186,0.375132
187,0.378546
188,0.347836
189,0.370660
190,0.338011
191,0.395504
192,0.370851
193,0.363896
194,0.378523
195,0.361734
196,0.387807
197,0.376901
198,0.388560
199,0.373044
200,0.385334
201,0.384958
202,0.365049
203,0.381229
204,0.362660
205,0.355387
206,0.370236
207,0.330865
208,0.320001
209,0.395846
210,0.380028
211,0.377976
212,0.305150
213,0.376558
214,0.393043
215,0.366477
216,0.362851
217,0.386031
218,0.351886
219,0.395701
220,0.392548
221,0.365644
222,0.392079
